file_path,classification,duration_sec,num_transients,bpm
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/150 AT Hypnosis Drum - Static 137 Strp.wav,Loop,7.01,45,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/137 AT Hypnosis Drum - Sector 137 Perc.wav,Loop,7.01,33,34.22
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/194 AT Hypnosis Drum - Bark 137 Hat.wav,Loop,7.01,18,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/053 AT Hypnosis Drum - Emphasis 137 Perc.wav,Loop,7.01,64,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/216 AT Hypnosis Drum - Tape 137 Strp.wav,Loop,7.01,49,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/152 AT Hypnosis Drum - Response 137 Hat.wav,Loop,7.01,64,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/178 AT Hypnosis Drum - Knot 137 No Kick.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/221 AT Hypnosis Drum - Interference 137 Perc.wav,Loop,7.01,55,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/203 AT Hypnosis Drum - Resonator 137 Perc.wav,Loop,7.01,59,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/041 AT Hypnosis Drum - Rider 137 Perc.wav,Loop,7.01,64,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/181 AT Hypnosis Drum - Path 137 Full.wav,Loop,7.01,52,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/017 AT Hypnosis Drum - Input 137 Perc.wav,Loop,7.01,63,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/169 AT Hypnosis Drum - Pierce 137 Full.wav,Loop,7.01,57,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/190 AT Hypnosis Drum - Paradox 137 No Kick.wav,Loop,7.01,45,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/078 AT Hypnosis Drum - Alert 137 Strp.wav,Loop,7.01,23,68.91
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/158 AT Hypnosis Drum - Voltage 137 Hat.wav,Loop,7.01,63,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/106 AT Hypnosis Drum - Altering 137 No Kick.wav,Loop,7.01,42,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/149 AT Hypnosis Drum - Static 137 Perc.wav,Loop,7.01,39,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/016 AT Hypnosis Drum - Input 137 No Kick.wav,Loop,7.01,64,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/110 AT Hypnosis Drum - Koenig 137 Hat.wav,Loop,7.01,20,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/027 AT Hypnosis Drum - Threshold 137 Kick.wav,Loop,7.01,16,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/111 AT Hypnosis Drum - Koenig 137 Kick.wav,Loop,7.01,17,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/080 AT Hypnosis Drum - Render 137 Hat.wav,Loop,7.01,34,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/134 AT Hypnosis Drum - Sector 137 Hat.wav,Loop,7.01,23,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/096 AT Hypnosis Drum - Trigger 137 Strp.wav,Loop,7.01,40,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/182 AT Hypnosis Drum - Path 137 Hat.wav,Loop,7.01,29,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/185 AT Hypnosis Drum - Path 137 Perc.wav,Loop,7.01,43,68.91
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/174 AT Hypnosis Drum - Pierce 137 Strp.wav,Loop,7.01,56,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/217 AT Hypnosis Drum - Interference 137 Full.wav,Loop,7.01,63,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/026 AT Hypnosis Drum - Threshold 137 Hat.wav,Loop,7.01,63,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/179 AT Hypnosis Drum - Knot 137 Perc.wav,Loop,7.01,20,65.42
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/008 AT Hypnosis Drum - Over 137 Hat.wav,Loop,7.01,63,109.96
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/002 AT Hypnosis Drum - Tube 137 Hat.wav,Loop,7.01,16,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/206 AT Hypnosis Drum - Explorer 137 Hat.wav,Loop,7.01,25,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/135 AT Hypnosis Drum - Sector 137 Kick.wav,Loop,7.01,15,136.0
/Users/jannikassfalg/Documents/Sample Packs/Audiotent - Hypnosis/Drum Loops/199 AT Hypnosis Drum - Resonator 137 Full.wav,Loop,7.01,60,136.0
